index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
4141;7736;2407604;-60.900.950.431.822;-37.810.542.583.464.400;POSTO DE SAUDE PORFIRIO COSTA DE OLIVEIRA CABORE;SITIO CABORE;S/N;ZONA RURAL;(84)33960235;59805000.0;RN;Lucrécia;2016;5;-61.010.735;-378.244.262;Lucrécia, State of Rio Grande do Norte, 59805-000, Brazil
4145;7849;2368943;-919.416.189.193.699;-431.002.449.989.306;PS CALDEIRAOZINHO PSF;POV CALDEIRAOZINHO;S/N;ZONA RURAL;(89)35910049;64782000.0;PI;Jurema;2016;5;-9.184.801.799.999.990;-431.163.598;Caldeirãozinho, Jurema - PI, 64782-000, Brazil
4152;7753;2771969;-14.204;-41.665;USF VEREADOR SINVAL NEVES;POVOADO DE UMBURANAS;S/N;RURAL;(77)4413008;46100000.0;BA;Brumado;2016;5;-141.193.189;-414.865.399;Umburanas, Brumado - BA, 46100-000, Brazil
4153;7937;2635682;-747.402.518.326.653;-372.750.721.852.438;ESF BAIRRO IPIRANGA;RUA 7 DE SETEMBRO;100;IPIRANGA;;56700000.0;PE;São José do Egito;2016;5;-7.469.856.599.999.990;-372.743.093;Rua Pres Dutra, 14 - Ipiranga, São José do Egito - PE, 56700-000, Brazil
4154;7868;8004463;-12.136.676.531.965.000;-384.171.295.166.016;UNIDADE DE SAUDE DA FAMILIA TAIZE;CONJUNTO ROMULO ALMEIDA;S/N;SANTA TEREZINHA;;48020680.0;BA;Alagoinhas;2016;5;-1.214.358;-384.034.514;R. Almeida do Nascimento, Alagoinhas - BA, Brazil
4156;7931;2527294;-69.974.983.508.051.900;-39.745.820.638.942;POSTO DE SAUDE DE SAO ROMAO;SITIO SAO ROMAO;S/N;SITIO SAO ROMAO ZO;5113254;63195000.0;CE;Altaneira;2016;5;-69.578.769;-396.547.257;São Romão, Altaneira - CE, 63195-000, Brazil
4159;7738;2714655;-8.397.310.000.000.000;-3.506.409;USF 09 ENGENHO MARANHAO;ENGENHO MARANHAO;S/N;ENGENHO MARANHAO;(81)35511207;55590000.0;PE;Ipojuca;2016;5;-83.665.404;-351.368.818;PE-042, 3, Ipojuca - PE, 55590-000, Brazil
4160;7855;2450690;-36.371.076.107.024.000;-451.873.898.506.151;UNIDADE BASICA DE SAUDE MAE NEGRA;RUA DO ACAMPAMENTO;S/N;CENTRO;;65345000.0;MA;Igarapé do Meio;2016;5;-296.891.372;-538.048.781;R. do Acampamento - Centro, Santa Maria - RS, Brazil
4162;7822;5347;-1.294.037;-3.837.846;USF ALTO DO COQUEIRINHO;PRACA SERGIO BRITO;S/N;ALTO COQUEIRINHO;(71) 3611-7121;41615260.0;BA;Salvador;2016;5;-129.382.335;-383.735.034;Praca Sergio Brito, sn - Alto do Coqueirinho, Salvador - BA, 41615-260, Brazil
4165;7839;2771209;-139.946.079.254.146;-397.723.746.299.732;USF ANTONIA DIAS DOS SANTOS;RUA DA INDEPENDENCIA;S/N;DISTR DE ST TEREZ;(73) 35352245;45225000.0;BA;Jitaúna;2016;5;-140.135.386;-39.897.258;Jitaúna, State of Bahia, 45225-000, Brazil
4169;7948;6766986;-8.269.454.240.798.700;-393.778.109.550.465;PSF MANUEL HONORIO DA SILVA;FAZENDA ALAZAO;S/N;ZONA RURAL;;56180000.0;PE;Cabrobó;2016;5;-85.081.924;-393.102.652;Cabrobó, State of Pernambuco, 56180-000, Brazil
4172;7934;5112206;-701.641.800.596.289;-421.314.056.604.251;USF DE OEIRAS NOVA;RUA BENEDITO CARMO;S/N;OEIRAS NOVA;;64500000.0;PI;Oeiras;2016;5;-70.158.529;-421.202.878;R. Benedito Carmo, Oeiras - PI, 64500-000, Brazil
4176;7670;2556561;-163.679.963.622.784;-3.957.749.554.185.770;UNIDADE BASICA DE SAUDE DR JOSE RAMOS NETO;RUA PAULINO MENDES LIMA;S/N;CENTRO;(73)3261-6146;45824020.0;BA;Eunápolis;2016;5;-163.848.429;-395.896.476;R. Paulino Mendes Lima, Eunápolis - BA, Brazil
4177;7633;2423049;-115.115.654.735.002;-374.573.493.003.845;POSTO DE SAUDE POVOADO MURICOCA;POVOADO MURICOCA;S/N;POVOADO;7935431353;49250000.0;SE;Indiaroba;2016;5;-115.195.153;-375.132.341;Indiaroba, State of Sergipe, 49250-000, Brazil
4179;7784;2386275;-119.695.725.020.911;-412.684.027.881.505;UNIDADE DE SAUDE DA FAMILIA DE ARIZONA;POVOADO DE ARIZONA;S/N;ZONA RURAL;75 9 9829-4847;46820000.0;BA;Bonito;2016;5;-118.574.302;-41.312.231;Arizona, Bonito - BA, 44880-000, Brazil
4180;7988;7418809;-33.571.199.999.999.900;-3.982.582;UNIDADE BASICA DE SAUDE MULATAO;RUA CENTRO;10;MULATAO;36735014;62514000.0;CE;Itapipoca;2016;5;-34.986.319;-395.818.241;Centro, Itapipoca - CE, 62540-000, Brazil
4181;7732;6265421;-15.626.968.145.370.000;-407.091.736.793.506;U S F ANTONIO ALVES NASCIMENTO VILA DO CAFE II;TRAVESSA MACARANI;S/N;VILA DO CAFE;7734392266;45150000.0;BA;Encruzilhada;2016;5;-155.633.372;-404.239.436;Macarani - State of Bahia, Brazil
4182;7819;2460769;-269.717.680.467.058;-448.226.737.976.074;U B DE SAUDE PSFSB POLEIRO;POV POLEIRO;S/N;CENTRO;(98) 3830259;65235000.0;MA;São Bento;2016;5;-26.981.809;-44.829.323;São Bento, State of Maranhão, 65235-000, Brazil
4184;7708;2466740;-112.135.541.439.053;-40.368.876.457.213.200;POSTO DE SAUDE DA PALMEIRINHA;POVOADO DA PALMEIRINHA;S/N;PALMEIRINHA;7436213433;44700000.0;BA;Jacobina;2016;5;-1.157.677;-40.459.888;Palmeirinha, Miguel Calmon - BA, 44720-000, Brazil
4186;7660;2707586;-694.029.092.788.676;-366.273.665.428.151;UNIDADE DE SAUDE DA FAMILIA DE TENORIO;RUA 14 DE AGOSTO;127;CENTRO;(83)36441003;58665000.0;PB;Tenório;2016;5;-6.940.422.600.000.000;-3.662.795.860.000.000;R. 14 de Agosto, 127, Tenório - PB, 58665-000, Brazil
4189;7770;2479729;-346.190.571.784.963;-393.469.977.378.834;UNIDADE BASICA DE SAUDE LAGOAS NOVAS;LOCALIDADE DE LAGOAS NOVAS;S/N;LAGOAS NOVAS;3441399;62690000.0;CE;Trairi;2016;5;-34.930.891;-393.102.459;Territorio da Unidade de Saude da Familia Lagoas Novas, Ceará, Brazil
4190;7929;7595972;-580.850.877.691.999;-368.801.754.713.058;UNIDADE BASICA DE SAUDE CLAUDINETE PINHEIRO DE SALES;RUA PEDRO CANDIDO DE SOUZA;S/N;SOLIDADE;;59518000.0;RN;São Rafael;2016;5;-5.801.973.299.999.990;-368.834.042;São Rafael - State of Rio Grande do Norte, Brazil
4191;7918;7396708;-5.566.669.999.999.990;-4.673.876;UBS PREFEITO RIBA DANTAS;RUA DA SEDE;S/N;PA CIKEL;9835322020;65923000.0;MA;Amarante do Maranhão;2016;5;412.033.216;-771.945.247;Pennsylvania, USA
4195;7625;2381354;-59.899.019.795.618.600;-37.813.258.490.085.300;CENTRO DE SAUDE DR GUARACI DA COSTA ONOFRE;RUA ALCEBIADES DE SOUZA;255;CENTRO;(84) 33972522;59865000.0;RN;Umarizal;2016;5;-59.907.083;-378.135.402;R. Alcebiades de Souza, 255, Umarizal - RN, 59865-000, Brazil
4203;7672;2724847;-418.234.705.924.976;-38.836.112.022.398.700;POSTO DE SAUDE DE CANADA;CANADA;S/N;CANADA;3321292;62790000.0;CE;Redenção;2016;5;-4.2;-38.85;Canada, Redenção - CE, 62790-000, Brazil
4204;7775;6446736;-618.038.892.745.954;-437.805.175.781.237;UNIDADE BASICA DE SAUDE CENTRO;PRACA 15 DE NOVEMBRO;10;CENTRO;(99)35581212;65680000.0;MA;Passagem Franca;2016;5;-61.803.561;-437.807.132;R. Praca Quinze de Novembro, Passagem Franca - MA, 65680-000, Brazil
4206;7649;2714817;-817.537.307.739.234;-400.517.749.786.365;USF MATIAS;POVOADO MATIAS;S/N;POV;;56163000.0;PE;Parnamirim;2016;5;-81.759.683;-400.513.121;Parnamirim - State of Pernambuco, 56163-000, Brazil
4211;7861;3994384;-290.949.940.681.449;-439.797.735.214.221;UNIDADE DE SAUDE DA FAMILIA DE SANTANA;POVOADO SANTANA;S/N;SANTANA;;65160000.0;MA;Morros;2016;5;-49.609.498;-452.744.159;State of Maranhão, Brazil
4213;7825;6196411;-142.105.645.058.371;-44.283.463.938.437;UNIDADE DE SAUDE DA FAMILIA DE VARZEA DA CRUZ;FAZ VARZEA DA CRUZ;S/N;ZONA RURAL;(77) 34741317;46446000.0;BA;Feira da Mata;2016;5;-142.048.529;-442.748.275;Feira da Mata, BA, 46446-000, Brazil
4214;7741;2386259;-128.069.150.447.842;-41.941.530.704.497.100;POSTO DE SAUDE DE BAIXA FUNDA;POV DE BAIXA FUNDA;S/N;BAIXA FUNDA;(75)3302109;46740000.0;BA;Boninal;2016;5;-128.101.153;-419.422.351;Unnamed Rd,, Boninal - BA, 46740-000, Brazil
4215;7706;2364670;-680.192.112.922.649;-43.009.865.283.964.700;PS NOSSA SENHORA DA GUIA;PRACA NOSSA SENHORA DA GUIA;S/N;NOSSA SENHORA DA GUI;(86)5221542;64800000.0;PI;Floriano;2016;5;-6.801.796.400.000.000;-430.097.276;Praça Nossa Senhora da Guia - Nossa Sra. da Guia, Floriano - PI, 64800-000, Brazil
4219;7686;7823126;-56.217.422;-372.544.065;UNIDADE BASICA DE SAUDE DR NAELSON BEZERRA;RUA FRANCISCO BEZERRA;S/N;CENTRO;(84) 998154285;59670000.0;RN;Upanema;2016;5;-5.640.255;-372.582.349;R. Francisco Bezerra, Upanema - RN, 59670-000, Brazil
4223;7917;2368854;-58.649.144.945.276;-410.508.299.964.828;PS DO POVOADO TETEU PSF;POVOADO TETEU;S/N;ZONA RURAL;;64333000.0;PI;Assunção do Piauí;2016;5;-58.215.295;-410.394.028;Assunção do Piauí - State of Piauí, Brazil
4224;7892;7474385;-105.064.387.577.283;-39.009.107.650.756.700;UNIDADE DE SAUDE DA FAMILIA DE MURITI;POVOADO MURITI;S/N;POVOADO MURITI;;48500000.0;BA;Euclides da Cunha;2016;5;-105.164.211;-387.548.733;Euclides da Cunha - State of Bahia, 48500-000, Brazil
4226;7856;6677878;-42.006.182.670.592;-381.977.891.921.986;UNIDADE BASICA DE SAUDE DE CHORO;VILA DE CHORO;S/N;CHORO;;62840000.0;CE;Beberibe;2016;5;-41.828.786;-381.300.362;Beberibe, State of Ceará, 62840-000, Brazil
4228;7881;3451542;-12.848.360.538.482.300;-38.456.976.413.725.700;UBS FAZENDA COUTOS;AVENIDA ALMIRANTE MARQUES DE LEAO;S/N;FAZENDA COUTOS;(71)992093459;40730430.0;BA;Salvador;2016;5;-128.480.867;-384.580.621;Alameda Almirante Marques de Leão - Fazenda Coutos, Salvador - BA, 41301-110, Brazil
4240;7761;2646293;-511.573.926.436.997;-43.818.181.795.106.100;CENTRO DE SAUDE DE SAO JOAO DO SOTER;AVENIDA ESPERANCA;2025;CENTRO;99 3567-1279;65615000.0;MA;São João do Soter;2016;5;-51.141.746;-438.096.955;São João do Soter, MA, 65615-000, Brazil
4243;7717;5273951;-125.371.357.853.541;-391.867.130.922.404;USF PEDRO RUFINO SANTANA;LAGOA SECA;S/N;ZONA RURAL;7136811103;44345000.0;BA;Cabaceiras do Paraguaçu;2016;5;-71.597.393;-358.563.789;Lagoa Seca - State of Paraíba, Brazil
4244;7703;8008965;-706.536.831.063.555;-365.707.010.055.171;UBS DA BELA VISTA;FRANCISCO TRAJANO CUNHA;54;BELA VISTA;(83) 3821240;58660000.0;PB;Juazeirinho;2016;5;-70.664.075;-365.753.123;R. Francisco T. Cunha, 54, Juazeirinho - PB, 58660-000, Brazil
4249;7824;2478749;-409.743.233.197.342;-39.239.466.495.031.200;UBS DE AGUA BOA;AGUA BOA;S/N;DISTRITO DE AGUA BOA;(85)33201184;62736000.0;CE;Paramoti;2016;5;-4.149.999.999.999.990;-39.316.667;Água Boa, Paramoti - CE, 62736-000, Brazil
4255;7723;6460771;-565.167.372.981.516;-352.400.609.850.883;POSTO DE SAUDE CONTENDA;RUA SAO JOAO;S/N;CONTENDA;84;59575000.0;RN;Extremoz;2016;5;-56.500.939;-35.240.414;Extremoz - State of Rio Grande do Norte, 59575-000, Brazil
4260;7841;2369834;-4.819.725.751.876.690;-42.178.208.827.971.200;PS RAIMUNDO NONATO MONTEIRO SANTANA;RUA JOSE LUIS BONA;S/N;FLORES;;64280000.0;PI;Campo Maior;2016;5;-4.822.025.600.000.000;-421.782.499;Flores, Campo Maior - PI, 64280-000, Brazil
4261;7691;8015007;-523.078.073.449.038;-358.449.895.223.578;POSTO DE SAUDE DE PEREIROS;PEREIROS;1235;DISTRITO;;59586000.0;RN;Parazinho;2016;5;-52.794.466;-359.871.934;Pereiros, Parazinho - RN, 59586-000, Brazil
4263;29379;2474093;-5.379.835.367.202.590;-3.533.576.488.494.770;UNIDADE BASICA DE SAUDE DE PITITINGA;DISTRITO DE PITITINGA;4;ZONA RURAL;;59578000.0;RN;Rio do Fogo;2016;5;-5.379.601.699.999.990;-353.362.608;Pititinga, Rio do Fogo - RN, 59578-000, Brazil
4267;7688;5654343;-456.923.961.639.391;-446.255.850.791.918;CENTRO DE SAUDE DR PEDRO BARROSO;AV DR CARLOS MELO;2004;AEROPORTO;36422439;65727000.0;MA;Trizidela do Vale;2016;5;-45.380.687;-446.283.466;Trizidela do Vale, MA, 65727-000, Brazil
4272;7722;3354814;-890.115;-3.649.944;USF DA BOA VISTA I;RUA ISMAEL TINO LIMA E SILVA;900;ALOISIO PINTO;;55295122.0;PE;Garanhuns;2016;5;-8.903.561;-364.971.073;R. Ismael Tinô Lima e Silva, 900 - Aluísio Pinto, Garanhuns - PE, 55292-080, Brazil
4274;7812;2613123;-751.428.764.137.233;-349.178.501.439.553;USF PIQUETE;RUA CLEMENTE FERREIRA;1428;PIQUETE;8332862029;58326000.0;PB;Caaporã;2016;5;-7.510.413.499.999.990;-349.299.974;R. Clemente Ferreira, 1428, Caaporã - PB, 58326-000, Brazil
4276;7682;2321130;-71.372.723.579.404.600;-370.482.802.391.042;UNIDADE DE SAUDE DA FAMILIA DE PASSAGEM;RUA CAPITAO PEDRO RAFAEL;S/N;CENTRO;;58734000.0;PB;Passagem;2016;5;-71.371.144;-370.461.176;R. Cap. Pedro Rafael, Passagem - PB, 58734-000, Brazil
4278;7976;2422042;-111.843.298.680.994;-3.799.900.069.510.170;UNIDADE DE SAUDE DA FAMILIA POV SAMAMBAIA;POVOADO SAMAMBAIA;S/N;ZONA RURAL;(79)35411220;49300000.0;SE;Tobias Barreto;2016;5;-109.250.541;-380.565.331;Samambaia, Tobias Barreto - SE, 49300-000, Brazil
4284;7904;2509504;-10.836.278.074.768.600;-38.536.098.787.433.200;UNIDADE DE SAUDE DA FAMILIA DO POVOADO DE BOCA DA MATA;POVOADO BOCA DA MATA;S/N;BOCA DA MATA;;48400000.0;BA;Ribeira do Pombal;2016;5;-108.832.894;-3.851.396.930.000.000;Estr. Boca da Mata, Ribeira do Pombal - BA, 48400-000, Brazil
4287;7667;2003937;-962.004.468.746.557;-367.659.187.316.895;CENTRO DE SAUDE DE CRAIBAS;RUA SAO PEDRO;125;CENTRO;;57320000.0;AL;Craíbas;2016;5;-96.177.297;-367.667.073;Craíbas - State of Alagoas, Brazil
4288;7995;2604981;-773.386.645.898.496;-3.799.366.400.961.620;UBS PSF CRUZEIRO;RUA 18 DE MAIO;S/N;CRUZEIRO;;58755000.0;PB;Princesa Isabel;2016;5;-77.362.129;-379.916.987;Princesa Isabel, State of Paraíba, 58755-000, Brazil
4290;7990;6586694;-400.632.977.485.645;-40.445.523.262.022.700;CENTRO DE SAUDE DA FAMILIA DE CARIRE TAPUIO;TAPUIO;S/N;DISTRITO DE TAPUIO;88 36466200;62184000.0;CE;Cariré;2016;5;-40.085.017;-404.461.101;Tapuio, Cariré - CE, 62184-000, Brazil
4292;7805;5492629;-12.833.027.267.532.300;-439.385.586.977.005;POSTO DE SAUDE DA FAMILIA DE POCO DO JUA;POVOADO DE POCO DO JUA;S/N;POCO DO JUA;(77)36862080;47740000.0;BA;Serra Dourada;2016;5;-128.319.792;-439.393.664;Unnamed Road, 47740-000, Serra Dourada - BA, Brazil
4297;7887;3034518;-66.040.384.769.437.800;-4.466.815.710.067.620;UNIDADE BASICA DE SAUDE MATIAS GOMES CORREIA;RUA PRINCIPAL;S/N;POVOADO LISO;99-35561295;65850000.0;MA;Mirador;2016;5;-63.726.359;-44.365.323;Mirador, State of Maranhão, 65850-000, Brazil
4299;7771;2321947;-703.829.884.529.093;-383.449.888.229.359;UNIDADE DE SAUDE DA FAMILIA DE CARRAPATEIRA;RUA JOSE VIEIRA;S/N;CENTRO;(83)35531011;58945000.0;PB;Carrapateira;2016;5;-70.387.187;-383.440.564;R. Pedro Viêira, Carrapateira - PB, 58945-000, Brazil
4301;7830;2719134;-891.268.826.995.015;-357.197.808.593.936;AMBULATORIO DANIEL MONTEIRO DA CRUZ;DESTILARIA PORTO ALEGRE;S/N;ZONA RURAL;(82)32551118;57975000.0;AL;Colônia Leopoldina;2016;5;-8.982.249.399.999.990;-35.784.354;Rua Principal, 1, Col. Leopoldina - AL, 57975-000, Brazil
4302;7716;7550685;-427.073;-4.177.294.000.000.000;UBS PETECAS III IV;RUA PROJETADA COM A AVENIDA PETECAS I;S/N;PETECAS;(86)3276-0016;64260000.0;PI;Piripiri;2016;5;-4.272.683.199.999.990;-417.624.755;R. Projetada - Morro da Saudade, Piripiri - PI, 64260-000, Brazil
4304;7676;2478951;-4.852.434.176.601.980;-395.757.886.826.003;POSTO DE SAUDE DE CAJAZEIRAS;CAJAZEIRAS;S/N;ZONA RURAL;8321082;63860000.0;CE;Madalena;2016;5;-4.8;-39.6;Fazenda Cajazeira, Madalena - CE, 63860-000, Brazil
4305;7798;7466781;-34.740.123.077.392;-415.587.043.762.207;UNIDADE BASICA DE SAUDE VIDEU;VIDEU;S/N;ZONA RURAL;;64235000.0;PI;Cocal;2016;5;-3.473.168;-415.549.927;Cocal, Piauí, Cocal - State of Piauí, 64235-000, Brazil
4307;7746;2512114;-119.407.674.063.606;-37.945.476.582.969.700;PSF NOVA PASTORA;RUA B;30;NOVA PASTORA;34562113;48390000.0;BA;Cardeal da Silva;2016;5;-120.932.759;-379.975.619;Conj. Nova Pastora, Cardeal da Silva - BA, 48390-000, Brazil
4311;7648;2451395;-4.972.193.241.119.240;-44.852.156.639.097.700;U B S SFRANCISCO ESCOCIO II PSF;POV SOLTA;S/N;POVOADO;(09)6379028;65755000.0;MA;Joselândia;2016;5;433.869.934;16.287.521;Šolta, Croatia
4313;7845;2665565;-646.133.422.851.544;-37.108.297.348.021.300;UNIDADE DE SAUDE DA FAMILIA VII BARRA NOVA;RUA ANTONIO PEREIRA DE BRITO;393;BARRA NOVA;(84)34171986;59300000.0;RN;Caicó;2016;5;-64.596.472;-371.077.683;R. Antonio Pereira de Brito, 393, Caicó - RN, 59300-000, Brazil
4320;8332;2528517;-38.540.232.181.547.900;-409.187.722.206.104;CENTRO DE SAUDE DE UBAJARA;RUA JOSE RUFINO PEREIRA;214;CENTRO;;62350000.0;CE;Ubajara;2016;5;-38.541.344;-40.918.844;R. José Rufino Pereira, 214, Ubajara - CE, 62350-000, Brazil
4321;8013;6586716;-39.522.349.834.441;-404.728.388.786.304;CENTRO DE SAUDE DA FAMILIA DE CARIRE SEDE II;TABELIAO OSMUNDO AGUIAR;1;CAIXA DAGUA;88 36461654;62184000.0;CE;Cariré;2016;5;-39.509.216;-404.725.766;Rua Tabelião Osmundo Aguiar, 1, Cariré - CE, 62184-000, Brazil
4325;8281;2591294;-591.820.836.067.182;-44.556.469.917.296.100;UNIDADE BASICA DE SAUDE PAVIO;POVOADO PAVIO;S/N;ZONA RURAL;(99)35521221;65690000.0;MA;Colinas;2016;5;0.0;0.0;Não encontrado
4326;8185;2409798;-610.932.111.740.095;-3.681.593.656.539.800;POSTO DE SAUDE DO JUCURI;VILA JUCURI;10;ZONA URBANA RURAL;;59335000.0;RN;Florânia;2016;5;-61.089.204;-368.157.984;Florânia - State of Rio Grande do Norte, 59335-000, Brazil
4327;8144;5597447;-755.694.062.556.485;-350.008.025.765.419;CENTRO DE TESTAGEM E ACONSELHAMENTO CTA;TRAVESSA DOMINGO RAMOS;11;CENTRO;;55900000.0;PE;Goiana;2016;5;-7.560.144.799.999.990;-349.980.625;R. Domingos Ramos, 11, Goiana - PE, 55900-000, Brazil
4330;8130;2479109;-482.408.165.931.688;-397.867.727.279.652;PROG SAUDE DA FAM DE IBUACO;DISTRITO IBUACU;S/N;CENTRO;0;63870000.0;CE;Boa Viagem;2016;5;-48.269.955;-3.978.778.870.000.000;Ibuaçu, Boa Viagem - CE, 63870-000, Brazil
4331;8377;6856020;-747.699.022.293.069;-372.727.489.471.425;ESF IPIRANGA II;TRAVESSSA JOSE JULIAO;100;CENTRO;38441055;56700000.0;PE;São José do Egito;2016;5;-74.772.562;-37.272.745;Travessa José Juliao, São José do Egito - PE, 56700-000, Brazil
4332;8305;2552337;-526.863.055.048.591;-3.827.194.070.437.970;POSTO DE SAUDE DO SITIO RAPOSO;SITIO RAPOSO;S/N;ZONA RURAL;;62965000.0;CE;São João do Jaguaribe;2016;5;-53.418.543;-382.744.009;São João do Jaguaribe - State of Ceará, Brazil
4333;8031;7490585;-366.555.230.577.084;-40.372.810.043.335;CSF COHAB III;RUA JUCA PARENTE;S/N;COHAB III;88 36145416;62023090.0;CE;Sobral;2016;5;-36.654.572;-403.727.921;514 - Av. Jucá Parente, 432 - Junco, Sobral - CE, 62030-520, Brazil
4334;8227;3394506;-378.088.474.273.671;-386.018.586.158.741;UAPS FERNANDO DIOGENES;RUA TEODORO DE CASTRO;S/N;GRANJA PORTUGUAL;(85)34883240;60541195.0;CE;Fortaleza;2016;5;-37.807.371;-386.015.101;R. Teodoro de Castro - Granja Portugal, Fortaleza - CE, Brazil
4337;8388;2459515;-5.527.743.101.119.830;-47.383.582.592.009.100;UBS SANTO ANTONIO;RUA SANTO ANTONIO;S/N;SANTO ANTONIO;(99)35341828;65927000.0;MA;Davinópolis;2016;5;-55.258.582;-473.909.971;R. Santo Antônio, Davinópolis - MA, 65927-000, Brazil
4338;8237;5462851;-1.976.358.890.533.380;-44.766.926.765.440.500;UNIDADE BASICA DE SAUDE TEREZINHA DE JESUS FERREIRA;POVOADO GURUTIL;S/N;ZONA RURAL;;65265000.0;MA;Mirinzal;2016;5;-20.673.739;-447.845.929;Mirinzal - State of Maranhão, Brazil
4341;8258;2526417;-11.872.930.997.579;-38.768.077.795.004.200;UNIDADE DE SAUDE DA FAMILIA DE BARRA;RUA OSCAR SANTANA;S/N;ZONA RURAL;(75)294 2109;48170000.0;BA;Água Fria;2016;5;-118.883.644;-387.682.115;R. Oscár de Santana Ferrovia, Água Fria - BA, 48170-000, Brazil
4342;8279;2405415;-424.309.335.434.367;-422.953.398.573.464;PS SANTINHO JOSE DE RIBAMAR PEREIRA;SANTINHO;S/N;SANTINHO;(86)32421221;64100000.0;PI;Barras;2016;5;-4.222.779;-422.969.213;Santinho, Barras - PI, 64100-000, Brazil
4345;8174;4027809;-135.308.325.290.676;-39.973.819.255.827.700;CENTRO DE SAUDE DE JAGUAQUARA;RUA JOSE EUFRASIO DE SOUZA;S/N;MURITIBA;(73)35342588;45345000.0;BA;Jaguaquara;2016;5;-135.301.942;-399.763.933;R. José Eufrásio de Souza - Muritiba, Jaguaquara - BA, 45345-000, Brazil
4346;8321;6186769;-138.307.459.449.682;-4.445.377.349.853.520;USF PARTEIRA DONA INES;RUA DOS BANDEIRANTES;S/N;CENTRO;;47690000.0;BA;Coribe;2016;5;-138.288.082;-444.549.671;R. Bandeirantes, 285, Coribe - BA, 47690-000, Brazil
4350;8318;2349914;-8.253.554.105.758.420;-366.330.313.682.545;PSF NOSSA SENHORA DE FATIMA;POVOADO DE GAVATA DOS GOMES;S/N;ZONA RURAL;(81)38341156;55240000.0;PE;Poção;2016;5;-82.535.782;-36.633.951;Unnamed Road, Poção - PE, 55240-000, Brazil
4352;8333;2356198;-870.912.255.231.174;-35.518.557.351.191.800;PSF NOSSA SENHORA DA CONCEICAO;RUA DANTAS BARRETO;S/N;B DA LAMA;(00)36815611;55550000.0;PE;Água Preta;2016;5;-87.105.179;-355.151.553;R. Dantas Barreto, Água Preta - PE, 55550-000, Brazil
4353;8116;6044670;-148.960.769.176.479;-39.428.150.653.838;USF CLARISMUNDO BISPO DE ALCANTARA;AVENIDA ANTONIO CARLOS MAGALAES;S/N;CENTRO;73 3248-2150;45750000.0;BA;Itapé;2016;5;-129.856.448;-384.665.723;Av. Antônio Carlos Magalhães, Salvador - BA, 40301-155, Brazil
4356;8023;7836163;-25.608.105;-4.419.517.620.000.000;UBS NOVA TERRA;RUA SIGNO DE CAPRICORNIO;S/N;NOVA TERRA;;65110000.0;MA;São José de Ribamar;2016;5;-25.710.167;-441.527.276;Rua Signo de Capricórnio - Res. Nova Terra, São José de Ribamar - MA, 65110-000, Brazil
4361;8364;3532194;-7.844.023.704.528.570;-35.286.433.696.745.700;POSTO DE SAUDE DE VASSOURAS;MARGEM DA PE 90;S/N;ZONA RURAL;;55820000.0;PE;Lagoa do Carro;2016;5;-7.841.963.699.999.990;-353.118.881;R. Antonio Francisco da Silva, 258, Lagoa do Carro - PE, 55820-000, Brazil
4363;8142;6744133;-667.982.697.486.858;-42.972.400.188.444.700;UBS VALDINAR ALVES DOS SANTOS;POVOADO LAMEIRAO;S/N;ZONA RURAL;8935231621;65660000.0;MA;Barão de Grajaú;2016;5;-67.450.277;-430.264.928;Barão de Grajaú, MA, 65660-000, Brazil
4367;8183;2714582;-786.018.872.703.986;-355.915.023.689.903;UNIDADE DA SAUDE DA FAMILIA DE LAGOA FUNDA;SITIO LAGOA FUNDA;S/N;ZONA RURAL;(81)36481228;55720000.0;PE;João Alfredo;2016;5;371.356.631;-8.451.722.799.999.990;8400 Lagoa, Portugal
4369;8381;2526751;-352.284.550.666.799;-412.977.790.832.508;UNIDADE BASICA DE SAUDE DE JUA DOS VIEIRAS;SITIO JUA DOS VIEIRAS;S/N;SITIO JUA DOS VIEIRA;;62300000.0;CE;Viçosa do Ceará;2016;5;-3.584.704.599.999.990;-411.024.168;RodoviaCe.187 - Km 02 - S/N, Viçosa do Ceará - CE, 62300-000, Brazil
4370;8181;2726114;-539.564;-4.031.145;PSF SEDE II SETENTA;RUA MARECHAU HUMBERTO;S/N;LIBERDADE;36751166;63640000.0;CE;Independência;2016;5;-53.936.556;-403.140.433;R. Mal. Humberto, Independência - CE, 63640-000, Brazil
4371;8058;2604531;-74.222.821.452.853.200;-382.189.508.765.067;PSF I DR CARLOS FERNANDO DE CARVALHO;RUA ANGELICA SOARES;S/N;CENTRO;(83)34931031;58993000.0;PB;Boa Ventura;2016;5;-74.205.413;-382.176.585;Tv. Angélica Soares, Boa Ventura - PB, 58993-000, Brazil
4372;8253;2356724;-697.095.394.134.501;-34.834.234.714.507;USF CENTRO;RUA MARIA NAZARE JORGE DE SENA;67;CENTRO;;58100595.0;PB;Cabedelo;2016;5;-69.702.156;-34.834.323;Rua Maria de Nazaré - Vila Sao Joao, Cabedelo - PB, 58310-000, Brazil
